title,location,building_location1,building_location2,area,direction,type,description,price
海尚墅林苑,奉贤,海湾,海尚墅林苑,88,南 北,3室2厅1卫,SH1647951428594958336,2500
红梅小区(嘉定),嘉定,安亭,红梅小区(嘉定),53,南,2室1厅1卫,SH1718611005015064576,2300
鸿宝二村,奉贤,西渡,鸿宝二村,79,南,3室1厅1卫,SH1718485876654211072,3000
馨佳园(菊盛路851弄),宝山,顾村,馨佳园(菊盛路851弄),74,南,2室1厅1卫,SH1719286167502848000,3200
凤鸣海尚,奉贤,海湾,凤鸣海尚,93,南,3室2厅2卫,SH1711734417698848768,3000
佘北家园士清苑,松江,佘山,佘北家园士清苑,91,南,3室1厅1卫,SH1698191110880362496,3500
长江西路1321号,宝山,张庙,长江西路1321号,20,北,1室0厅1卫,SH1688404917053554688,1800
控江四村,杨浦,黄兴公园,控江四村,30,北,1室0厅1卫,SH1705473092819615744,3400
红旗小区,闵行,老闵行,红旗小区,33,西,1室1厅1卫,SH1705154950905987072,2300
宝山一村,宝山,淞宝,宝山一村,41,南,1室1厅1卫,SH1710515939050520576,3300
光明九胤,奉贤,南桥,光明九胤,87,南,3室1厅1卫,SH1682652219683373056,3400
人乐小区,松江,松江老城,人乐小区,78,南,2室1厅1卫,SH1694004861844062208,3300
茸南苑,松江,松江老城,茸南苑,90,南,3室1厅1卫,SH1700850822960644096,3300
练祁佳城绿地家苑,嘉定,菊园新区,练祁佳城绿地家苑,83,南 北,3室1厅1卫,SH1709924888506007552,3300
昆阳小区,闵行,老闵行,昆阳小区,56,南,2室1厅1卫,SH1697897723149156352,2850
九峰小区,松江,松江老城,九峰小区,58,南,2室1厅1卫,SH1715281719558406144,3300
金水苑,奉贤,南桥,金水苑,125,东南 南 北,3室1厅2卫,SH1699375855400124416,3500
瑞和上海印象,奉贤,四团,瑞和上海印象,92,南,3室2厅1卫,SH1709868501570682880,3400
荣乐小区,松江,松江老城,荣乐小区,59,东南 南,2室1厅1卫,SH1701138713251151872,3500
沧州路180弄,杨浦,黄兴公园,沧州路180弄,38,南,1室0厅1卫,SH1707314638971994112,3500
黄兴路601号,杨浦,控江路,黄兴路601号,14,东南,1室0厅1卫,SH1699701636525457408,3200
银都一村,静安,彭浦,银都一村,34,南,1室0厅1卫,SH1714147581128343552,3000
育秀四区,奉贤,南桥,育秀四区,136,南,3室2厅2卫,SH1713554285754580992,3200
西泥路小区,浦东,川沙,西泥路小区,49,南,1室1厅1卫,SH1708100396762791936,3400
青湖轩,青浦,赵巷,青湖轩,115,南 北,3室2厅2卫,SH1697082289042751488,3000
西湖苑,闵行,莘庄北广场,西湖苑,38,南,1室1厅1卫,SH1707616822519398400,3200
呼玛一村,宝山,张庙,呼玛一村,37,南,1室1厅1卫,SH1706999696666394624,3500
新华小区,闵行,老闵行,新华小区,58,南,2室1厅1卫,SH1705421896553594880,3200
宝钢一村,宝山,淞宝,宝钢一村,41,南,1室1厅1卫,SH1706611507632013312,3200
晨阳小区,浦东,川沙,晨阳小区,75,南,2室1厅1卫,SH1686743822521860096,3100
