title,location,building_location1,building_location2,area,direction,type,description,price
承翰南联公馆,龙岗区,龙岗中心城,承翰南联公馆,45,东 东南,1室1厅1卫,SZ1709090826581180416,1300
城市花园一期（龙岗）,龙岗区,龙岗中心城,城市花园一期（龙岗）,179,南,1室1厅1卫,SZ1683076797295493120,1300
阳光广场,龙岗区,龙岗中心城,阳光广场,18,西北,1室0厅1卫,SZ2784178229085749248,1300
龙光玖云著,坪山区,坪山,龙光玖云著,36,东南,2室1厅1卫,SZ1582344851490340864,1300
招商华侨城曦城六期,宝安区,曦城,招商华侨城曦城六期,223,南,6室2厅4卫,SZ2860734509098745856,38000
香榭里花园,福田区,香蜜湖,香榭里花园,155,西南,4室2厅2卫,SZ2863697128616894464,25000
雅颂居,福田区,福田中心,雅颂居,224,南,4室2厅2卫,SZ1662004230468141056,38000
半岛城邦花园四期,南山区,蛇口,半岛城邦花园四期,114,东南 南,3室1厅2卫,SZ1705192877941850112,28000
梅花山庄,龙华区,民治,梅花山庄,240,东南,5室2厅2卫,SZ1719318566890635264,32000
华润城润玺一期,南山区,科技园,华润城润玺一期,200,东南,4室2厅3卫,SZ1718529438703943680,60000
南海玫瑰花园二期,南山区,蛇口,南海玫瑰花园二期,223,南,4室2厅3卫,SZ1696047146685431808,40000
汀兰鹭榭花园,南山区,红树湾,汀兰鹭榭花园,230,南,4室2厅3卫,SZ1672837753697468416,38000
华润前海中心·悦玺,南山区,前海,华润前海中心·悦玺,124,东南,2室1厅1卫,SZ1716766395561148416,21000
华润城万象府,南山区,科技园,华润城万象府,89,北,1室1厅1卫,SZ1706962733733249024,21000
君临天下,福田区,车公庙,君临天下,195,东南 南,4室2厅1卫,SZ1575788309752315904,38000
星河国际花园,福田区,福田中心,星河国际花园,168,西南,4室1厅2卫,SZ1567790560922566656,25000
万科第五园三期,龙岗区,坂田,万科第五园三期,221,南 北,6室2厅4卫,SZ1696166916571267072,24000
海馨苑,福田区,华强北,海馨苑,180,南,5室2厅2卫,SZ1696725296889200640,28000
半岛城邦花园一期,南山区,蛇口,半岛城邦花园一期,137,东南,4室2厅2卫,SZ1713506832900685824,22000
半岛城邦花园四期,南山区,蛇口,半岛城邦花园四期,114,东南 西北,2室2厅2卫,SZ1710893559986520064,23800
汉森吉祥龙,南山区,深圳湾,汉森吉祥龙,175,东南,5室2厅3卫,SZ1676624493335805952,45000
万科第五园三期,龙岗区,坂田,万科第五园三期,227,南 北,5室2厅4卫,SZ1675405848161026048,21000
波托菲诺纯水岸一期,南山区,华侨城,波托菲诺纯水岸一期,177,南,2室2厅2卫,SZ1650443799584833536,23000
天鹅堡,南山区,华侨城,天鹅堡,250,南,4室2厅3卫,SZ1708792742085132288,30000
半山臻境,南山区,蛇口,半山臻境,180,南,4室2厅3卫,SZ1716454571120787456,30000
华润城润玺一期,南山区,科技园,华润城润玺一期,175,东南,4室2厅2卫,SZ1717836710772998144,40000
深圳湾公馆,南山区,后海,深圳湾公馆,87,南,3室2厅2卫,SZ1667825955260858368,26000
晗山悦海城,南山区,蛇口,晗山悦海城,135,东南,2室2厅2卫,SZ1711226131824246784,21000
绿景虹湾,福田区,梅林,绿景虹湾,148,东北,4室2厅2卫,SZ1715963978250715136,22000
万科第五园一期,龙岗区,坂田,万科第五园一期,187,东南,5室2厅3卫,SZ1610128040451375104,22000
观澜湖比佩亚区,龙华区,观澜,观澜湖比佩亚区,155,东 东南,3室2厅2卫,SZ1672592761045385216,22000
华润城润玺一期,南山区,科技园,华润城润玺一期,99,东南,3室2厅2卫,SZ1718950087163379712,23000
太古城北,南山区,深圳湾,太古城北,156,东南,5室2厅2卫,SZ2815797929858564096,30000
华润城万象府,南山区,科技园,华润城万象府,89,北,1室1厅1卫,SZ1706962733733249024,21000
华润前海中心·悦玺,南山区,前海,华润前海中心·悦玺,272,西 西北,4室2厅3卫,SZ1716451773092200448,50000
雅颂居,福田区,福田中心,雅颂居,188,南,4室2厅2卫,SZ1691004620064686080,35000
华润前海中心·悦玺,南山区,前海,华润前海中心·悦玺,272,西 西北,4室2厅3卫,SZ1716451773092200448,50000
雅颂居,福田区,福田中心,雅颂居,188,南,4室2厅2卫,SZ1691004620064686080,35000
海境界家园二期,南山区,蛇口,海境界家园二期,189,南 北,4室2厅2卫,SZ1713826601885499392,32000
星河国际花园,福田区,福田中心,星河国际花园,143,东南,3室1厅2卫,SZ1696437267163250688,22000
海境界家园二期,南山区,蛇口,海境界家园二期,190,东,4室2厅2卫,SZ1694594187246174208,30000
中信红树湾北区,南山区,红树湾,中信红树湾北区,240,南 西南,4室2厅3卫,SZ1639104847452045312,25000
东海国际公寓,福田区,香蜜湖,东海国际公寓,500,南,5室2厅5卫,SZ1710139347522551808,180000
深业中城,福田区,香蜜湖,深业中城,137,南,3室2厅2卫,SZ1689240564920221696,34000
半岛城邦花园四期,南山区,蛇口,半岛城邦花园四期,113,东 东南 南,2室1厅1卫,SZ1709780656331948032,25000
华润城润玺一期,南山区,科技园,华润城润玺一期,99,东南,3室2厅2卫,SZ1718950087163379712,23000
爵士大厦,罗湖区,万象城,爵士大厦,280,东,1室1厅1卫,SZ2877632846900494336,28000
百仕达花园一期,罗湖区,百仕达,百仕达花园一期,270,南,5室2厅2卫,SZ2838259694651310080,35000
太古城北,南山区,深圳湾,太古城北,156,东南,4室2厅2卫,SZ1625009961660579840,21000
星河丹堤,龙华区,梅林关,星河丹堤,270,东南,6室2厅4卫,SZ2797974238030733312,30000
东海国际公寓,福田区,香蜜湖,东海国际公寓,77,东,1室1厅1卫,SZ1650465627585904640,22000
龙华金茂府,龙华区,上塘,龙华金茂府,184,西南 西北,4室2厅3卫,SZ1716325388335972352,28000
百仕达红树西岸,南山区,红树湾,百仕达红树西岸,190,南,4室2厅3卫,SZ1663402970961674240,35000
君临天下,福田区,车公庙,君临天下,195,东南 南,4室2厅1卫,SZ1575788309752315904,38000
万科第五园三期,龙岗区,坂田,万科第五园三期,221,南 北,6室2厅4卫,SZ1696166916571267072,24000
星河国际花园,福田区,福田中心,星河国际花园,168,西南,4室1厅2卫,SZ1567790560922566656,25000
香山里花园二期,南山区,华侨城,香山里花园二期,153,南,3室2厅2卫,SZ1652910106758610944,21500
华润城润玺一期,南山区,科技园,华润城润玺一期,200,南 北,4室2厅3卫,SZ1717854457879855104,50000
深圳湾1号,南山区,深圳湾,深圳湾1号,560,东 东南 南 西南 北 东北,6室2厅0卫,SZ1580544147620626432,190000
