title,location,building_location1,building_location2,area,direction,type,description,price
太平小区,顺义,顺义城,太平小区,84,东南,2室1厅1卫,BJ1686211425040596992,2650
北重西厂,石景山,鲁谷,北重西厂,37,南,1室1厅1卫,BJ1719198388500561920,3500
清秀园南区,昌平,东关,清秀园南区,68,南 北,2室1厅1卫,BJ1693909337036029952,2800
同馨家园,丰台,青塔,同馨家园,79,南 北,2室2厅1卫,BJ1718224246448062464,3000
沙坨宜家家园,顺义,顺义城,沙坨宜家家园,57,东,1室1厅1卫,BJ1718918465349222400,3300
永兴小区,门头沟,滨河西区,永兴小区,75,南 北,2室1厅1卫,BJ1717841878440738816,3000
朗芳园三区,通州,通州其它,朗芳园三区,53,南,1室1厅1卫,BJ1718283356107440128,3300
居善园,大兴,大兴其它,居善园,50,南,1室0厅1卫,BJ1705106043102560256,2200
融创公园壹号,大兴,南中轴机场商务区,融创公园壹号,89,南 北,3室1厅2卫,BJ1717838210773549056,3500
天堂河北区,大兴,天宫院,天堂河北区,70,东 西,3室1厅1卫,BJ1703353199076835328,2800
衙府业园,石景山,鲁谷,衙府业园,41,南 北,1室0厅1卫,BJ1709811242169794560,3500
东秀街三巷,房山,良乡,东秀街三巷,75,南 北,2室1厅1卫,BJ1717127035991621632,2500
滨河西里中区,大兴,枣园,滨河西里中区,47,东 南,1室1厅1卫,BJ1716742244444143616,3400
山水汇豪苑B区,房山,窦店,山水汇豪苑B区,76,南 北,2室1厅1卫,BJ1697878448250290176,2000
惠泽家园,门头沟,门头沟其它,惠泽家园,86,南 北,2室1厅1卫,BJ1702976151091150848,3500
前进花园一区,顺义,顺义城,前进花园一区,76,南 北,2室1厅1卫,BJ1712337158380978176,3300
太平庄东里通尚苑,房山,良乡,太平庄东里通尚苑,90,南 北,2室1厅1卫,BJ1718938039490707456,2900
新海北里,通州,马驹桥,新海北里,56,南,2室1厅1卫,BJ1710607989334867968,3400
首开中晟馨苑3号院,顺义,马坡,首开中晟馨苑3号院,55,南,1室1厅1卫,BJ1706544667631288320,2500
榆垡新城嘉园B区,大兴,大兴机场空港,榆垡新城嘉园B区,49,南,1室1厅1卫,BJ1718856255079972864,1100
